machine_id,time_stamp,cpu_util,memory_util,mem_gps,mkpi,in_net,out_net,disk_io
m_2079,172830,12.0,90,-1.11,-1.11,35.66,25.1,1
m_2079,172950,28.0,91,-1.11,-1.11,35.66,25.1,2
m_2079,173280,30.0,93,-1.11,-1.11,35.67,25.1,1
m_2079,173310,34.0,93,-1.11,-1.11,35.67,25.1,1
m_2079,173330,26.0,92,-1.11,-1.11,35.67,25.1,1
m_2079,173460,20.0,89,-1.11,-1.11,35.67,25.1,2
m_2079,173720,22.0,90,-1.11,-1.11,35.67,25.1,4
m_2079,173780,36.0,90,-1.11,-1.11,35.68,25.11,3
m_2079,173790,31.0,90,-1.11,-1.11,35.68,25.11,3
m_2079,173800,31.0,90,-1.11,-1.11,35.68,25.11,3
m_2079,173830,24.0,90,-1.11,-1.11,35.68,25.11,3
m_2079,173870,26.0,90,-1.11,-1.11,35.68,25.11,3
m_2079,173990,30.0,92,-1.11,-1.11,35.68,25.11,2
m_2079,174140,34.0,92,-1.11,-1.11,35.68,25.11,3
m_2079,174280,24.0,91,-1.11,-1.11,35.68,25.11,2
m_2079,174340,24.0,92,-1.11,-1.11,35.69,25.11,1
m_2079,174360,24.0,92,-1.11,-1.11,35.69,25.11,2
m_2079,174430,27.0,93,-1.11,-1.11,35.69,25.11,2
m_2079,174450,33.0,93,-1.11,-1.11,35.69,25.11,2
m_2079,174530,56.0,94,-1.11,-1.11,35.69,25.11,2
m_2079,174560,51.0,91,-1.11,-1.11,35.69,25.11,5
m_2079,174660,37.0,93,-1.11,-1.11,35.69,25.11,3
m_2079,174720,37.0,93,-1.11,-1.11,35.69,25.12,1
m_2079,174780,36.0,93,-1.11,-1.11,35.69,25.12,4
m_2079,174820,35.0,93,-1.11,-1.11,35.69,25.12,4
m_2079,174920,28.0,87,-1.11,-1.11,35.7,25.12,5
m_2079,174940,27.0,85,-1.11,-1.11,35.7,25.12,5
m_2079,174960,27.0,85,-1.11,-1.11,35.7,25.12,3
m_2079,175120,35.0,87,-1.11,-1.11,35.7,25.12,1
m_2079,175130,32.0,86,-1.11,-1.11,35.7,25.12,1
m_2079,175140,34.0,86,-1.11,-1.11,35.7,25.12,4
m_2079,175240,31.0,87,-1.11,-1.11,35.7,25.12,4
m_2079,175460,25.0,88,-1.11,-1.11,35.7,25.12,2
m_2079,175490,21.0,87,-1.11,-1.11,35.7,25.12,2
m_2079,175730,24.0,89,-1.11,-1.11,35.71,25.13,4
m_2079,175780,19.0,87,-1.11,-1.11,35.71,25.13,2
m_2079,175810,19.0,85,-1.11,-1.11,35.71,25.13,4
m_2079,175890,21.0,86,-1.11,-1.11,35.71,25.13,4
m_2079,176190,19.0,85,-1.11,-1.11,35.71,25.13,2
m_2079,176390,18.0,86,-1.11,-1.11,35.71,25.13,1
m_2079,176470,27.0,89,-1.11,-1.11,35.71,25.13,1
