machine_id,time_stamp,cpu_util,memory_util,megps,mkpi,in_net,out_net,disk_io
2079,180360,29.0,87,-1.11,-1.11,35.77,25.16,2
2079,180430,43.0,87,-1.11,-1.11,35.77,25.16,4
2079,180510,35.0,90,-1.11,-1.11,35.77,25.16,4
2079,180730,41.0,92,-1.11,-1.11,35.77,25.16,10
2079,180750,38.0,92,-1.11,-1.11,35.77,25.16,10
2079,180780,30.0,91,-1.11,-1.11,35.78,25.16,3
2079,180810,34.0,90,-1.11,-1.11,35.78,25.16,3
2079,180860,30.0,89,-1.11,-1.11,35.78,25.16,3
2079,181150,34.0,85,-1.11,-1.11,35.78,25.17,8
2079,181430,29.0,87,-1.11,-1.11,35.78,25.17,5
2079,181540,36.0,88,-1.11,-1.11,35.79,25.17,4
2079,181670,23.0,87,-1.11,-1.11,35.79,25.17,2
2079,181710,32.0,85,-1.11,-1.11,35.79,25.17,5
2079,181870,28.0,87,-1.11,-1.11,35.79,25.17,3
2079,182010,31.0,89,-1.11,-1.11,35.79,25.17,3
2079,182050,29.0,89,-1.11,-1.11,35.79,25.17,5
2079,182080,30.0,90,-1.11,-1.11,35.8,25.17,5
2079,182110,27.0,89,-1.11,-1.11,35.8,25.17,8
2079,182120,30.0,89,-1.11,-1.11,35.8,25.17,8
2079,182280,27.0,88,-1.11,-1.11,35.8,25.18,17
2079,182600,38.0,88,-1.11,-1.11,35.81,25.18,2
2079,182630,26.0,87,-1.11,-1.11,35.81,25.18,2
2079,182670,28.0,88,-1.11,-1.11,35.81,25.18,2
2079,182730,31.0,88,-1.11,-1.11,35.81,25.18,3
2079,182910,18.0,86,-1.11,-1.11,35.81,25.18,4
2079,182990,21.0,86,-1.11,-1.11,35.81,25.18,2
2079,183020,20.0,86,-1.11,-1.11,35.81,25.18,5
2079,183030,19.0,85,-1.11,-1.11,35.81,25.18,5
2079,183090,23.0,87,-1.11,-1.11,35.81,25.18,3
2079,183120,19.0,86,-1.11,-1.11,35.81,25.18,3
2079,183250,24.0,87,-1.11,-1.11,35.81,25.19,1
2079,183270,21.0,87,-1.11,-1.11,35.81,25.19,1
2079,183320,27.0,87,-1.11,-1.11,35.81,25.19,2
2079,183420,26.0,88,-1.11,-1.11,35.82,25.19,2
2079,183490,22.0,86,-1.11,-1.11,35.82,25.19,2
2079,183500,22.0,86,-1.11,-1.11,35.82,25.19,2
2079,183550,26.0,87,-1.11,-1.11,35.82,25.19,2
2079,183600,30.0,89,-1.11,-1.11,35.82,25.19,2
2079,183640,33.0,90,-1.11,-1.11,35.82,25.19,2
2079,183670,30.0,90,-1.11,-1.11,35.82,25.19,2
2079,183690,27.0,90,-1.11,-1.11,35.82,25.19,2
2079,183720,27.0,90,-1.11,-1.11,35.82,25.19,7
2079,183850,38.0,92,-1.11,-1.11,35.83,25.19,7
2079,183880,31.0,92,-1.11,-1.11,35.83,25.19,7
2079,183900,29.0,92,-1.11,-1.11,35.83,25.19,5
2079,183940,29.0,94,-1.11,-1.11,35.83,25.19,5
2079,184070,37.0,93,-1.11,-1.11,35.83,25.2,3
