time_stamp,machine_id,cpu_util,memory_util
172830,2079,12.0,90
172950,2079,28.0,91
173280,2079,30.0,93
173310,2079,34.0,93
173330,2079,26.0,92
173460,2079,20.0,89
173720,2079,22.0,90
173780,2079,36.0,90
173790,2079,31.0,90
173800,2079,31.0,90
173830,2079,24.0,90
173870,2079,26.0,90
173990,2079,30.0,92
174140,2079,34.0,92
174280,2079,24.0,91
174340,2079,24.0,92
174360,2079,24.0,92
174430,2079,27.0,93
174450,2079,33.0,93
174530,2079,56.0,94
174560,2079,51.0,91
174660,2079,37.0,93
174720,2079,37.0,93
174780,2079,36.0,93
174820,2079,35.0,93
174920,2079,28.0,87
174940,2079,27.0,85
174960,2079,27.0,85
175120,2079,35.0,87
175130,2079,32.0,86
175140,2079,34.0,86
175240,2079,31.0,87
175460,2079,25.0,88
175490,2079,21.0,87
175730,2079,24.0,89
175780,2079,19.0,87
175810,2079,19.0,85
175890,2079,21.0,86
176190,2079,19.0,85
176390,2079,18.0,86
176470,2079,27.0,89
176600,2079,33.0,91
176700,2079,27.0,91
176760,2079,22.0,90
176830,2079,21.0,90
176840,2079,25.0,90
176880,2079,25.0,90
177100,2079,23.0,89
177210,2079,21.0,88
177310,2079,25.0,88
177400,2079,29.0,90
177510,2079,37.0,92
177520,2079,33.0,93
177530,2079,41.0,91
177690,2079,42.0,93
177710,2079,39.0,94
177830,2079,34.0,93
177940,2079,35.0,90
177980,2079,27.0,91
178060,2079,27.0,91
178130,2079,26.0,91
178210,2079,33.0,92
178250,2079,30.0,93
178340,2079,27.0,92
178400,2079,35.0,94
178490,2079,29.0,91
178690,2079,32.0,91
178770,2079,37.0,90
178810,2079,32.0,89
178940,2079,28.0,90
179030,2079,29.0,89
179150,2079,27.0,90
179210,2079,25.0,89
179420,2079,25.0,87
179450,2079,24.0,87
179480,2079,25.0,86
179490,2079,28.0,86
179580,2079,21.0,86
179790,2079,22.0,86
179820,2079,21.0,86
179950,2079,31.0,88
179970,2079,29.0,89
180010,2079,33.0,89
180040,2079,37.0,89
180220,2079,23.0,87
180260,2079,26.0,87
180360,2079,29.0,87
180430,2079,43.0,87
180510,2079,35.0,90
180730,2079,41.0,92
180750,2079,38.0,92
180780,2079,30.0,91
180810,2079,34.0,90
180860,2079,30.0,89
181150,2079,34.0,85
181430,2079,29.0,87
181540,2079,36.0,88
181670,2079,23.0,87
181710,2079,32.0,85
181870,2079,28.0,87
182010,2079,31.0,89
182050,2079,29.0,89
182080,2079,30.0,90
182110,2079,27.0,89
182120,2079,30.0,89
182280,2079,27.0,88
182600,2079,38.0,88
182630,2079,26.0,87
182670,2079,28.0,88
182730,2079,31.0,88
182910,2079,18.0,86
182990,2079,21.0,86
183020,2079,20.0,86
183030,2079,19.0,85
183090,2079,23.0,87
183120,2079,19.0,86
183250,2079,24.0,87
183270,2079,21.0,87
183320,2079,27.0,87
183420,2079,26.0,88
183490,2079,22.0,86
183500,2079,22.0,86
183550,2079,26.0,87
183600,2079,30.0,89
183640,2079,33.0,90
183670,2079,30.0,90
183690,2079,27.0,90
183720,2079,27.0,90
183850,2079,38.0,92
183880,2079,31.0,92
183900,2079,29.0,92
183940,2079,29.0,94
184070,2079,37.0,93
184170,2079,25.0,89
184240,2079,25.0,88
184330,2079,27.0,88
184410,2079,28.0,88
184480,2079,26.0,87
184500,2079,19.0,85
184580,2079,33.0,87
184610,2079,31.0,87
184620,2079,32.0,87
184690,2079,26.0,86
185290,2079,27.0,86
185300,2079,24.0,86
185320,2079,20.0,86
